noise,edge,contrasts,ncorrect,ntrials,vp
NB9,0.15,0.005627,39,40,3
NB9,0.15,0.0075,39,40,3
NB9,0.15,0.00001,18,40,4
NB9,0.15,0.001883,23,40,4
NB9,0.15,0.003755,39,40,4
NB9,0.15,0.005627,40,40,4
NB9,0.15,0.0075,40,40,4
NB9,0.15,0.00001,19,40,5
NB9,0.15,0.001883,28,40,5
NB9,0.15,0.003755,36,40,5
NB9,0.15,0.005627,40,40,5
NB9,0.15,0.0075,39,40,5
NB9,0.95,0.00001,124,240,pooled
NB9,0.95,0.001883,137,240,pooled
NB9,0.95,0.003755,196,240,pooled
NB9,0.95,0.005627,223,240,pooled
NB9,0.95,0.0075,232,240,pooled
NB9,0.95,0.00001,19,40,0
NB9,0.95,0.001883,29,40,0
NB9,0.95,0.003755,38,40,0
NB9,0.95,0.005627,40,40,0
NB9,0.95,0.0075,40,40,0
NB9,0.95,0.00001,23,40,1
NB9,0.95,0.001883,19,40,1
NB9,0.95,0.003755,26,40,1
NB9,0.95,0.005627,27,40,1
NB9,0.95,0.0075,33,40,1
NB9,0.95,0.00001,25,40,2
NB9,0.95,0.001883,18,40,2
NB9,0.95,0.003755,28,40,2
NB9,0.95,0.005627,38,40,2
NB9,0.95,0.0075,40,40,2
NB9,0.95,0.00001,17,40,3
NB9,0.95,0.001883,21,40,3
NB9,0.95,0.003755,31,40,3
NB9,0.95,0.005627,39,40,3
NB9,0.95,0.0075,39,40,3
NB9,0.95,0.00001,21,40,4
NB9,0.95,0.001883,24,40,4
NB9,0.95,0.003755,36,40,4
NB9,0.95,0.005627,39,40,4
NB9,0.95,0.0075,40,40,4
NB9,0.95,0.00001,19,40,5
NB9,0.95,0.001883,26,40,5
NB9,0.95,0.003755,37,40,5
NB9,0.95,0.005627,40,40,5
NB9,0.95,0.0075,40,40,5
